company_fyi,ticker,period,announcement_date,listing_region,industry,ai_mentioned,layoff_count,layoff_pct,CAR_1_1,CAR_0_1,CAR_0_5,CAR_0_20,CAR_5_60,alpha_ff4,beta_mkt_ff4,r2_ff4,n_est_obs
Airbnb,ABNB,post_genai,2023-03-03,US,Travel,0,30.0,,0.03173843438827497,0.026100583694856627,0.04916813140949301,0.03179007854196722,-0.0885298540297661,-0.00031258558854506565,1.2855934082579228,0.6136088094089402,250
Absci,ABSI,pre_genai,2022-08-09,US,Healthcare,0,40.0,,0.11656436515023869,0.08412907311421484,0.17442678373542223,0.2780283032464502,0.46636423305922886,-0.004114090944489732,1.3504741471576271,0.3093764079225837,250
Absci,ABSI,post_genai,2023-09-05,US,Healthcare,0,30.0,15%,-0.03780952285647537,-0.07469601852400748,-0.0721029829763862,-0.06575251844676117,0.31755141102779844,-0.0015346167622250434,0.7972631538788294,0.2780993958221908,250
Aurora,ACB,post_genai,2024-01-24,US,Transportation,0,,3%,-0.016925673587788105,-0.00045723027611616757,-0.021274531184644258,-0.13470014619453125,0.9105129265502784,-0.004515242362397332,1.4282662124229533,0.25174162434091707,250
Adobe,ADBE,pre_genai,2022-12-06,US,Marketing,0,100.0,,-0.004263945351909819,0.0005680034173408573,0.019470057235831045,0.08604830928236964,0.07442293540925088,-0.000859266182127876,1.1229161381524457,0.7036815099033895,250
Analog Devices,ADI,post_genai,2023-12-13,US,Manufacturing,0,111.0,,0.024161577707030642,0.02418734950619884,-0.0135001854165864,-0.04287826112199672,-0.010244296269794072,-5.335617411653508e-05,1.0779617412432594,0.5307903127715738,250
Adaptive Biotechnologies,ADPT,pre_genai,2022-03-08,US,Healthcare,0,100.0,12%,0.029104235154046643,0.02357427977791913,-0.051310238677520985,0.05723733824345838,-0.0017841980398193708,-0.002738096452092273,1.0366843492027202,0.5324240952133968,250
Autodesk,ADSK,post_genai,2023-02-02,US,Other,0,250.0,2%,-0.009677415560398174,-0.013269319629243794,0.024056558554709714,-0.030461176125825523,-0.09341144117471856,-1.7703260490198737e-05,1.1516297196856198,0.762992003027626,250
Autodesk,ADSK,post_genai,2025-02-27,US,Other,0,1350.0,9%,-0.03003688056419635,-0.03715969569507856,-0.04171942458130292,0.008048794489530508,0.08342730787309408,-0.0001907334462423224,1.22753789974525,0.4584265273611735,250
AEye,AEYE,post_genai,2023-03-28,US,Transportation,0,46.0,33%,0.20808879335469127,0.1660078503914637,0.20553187121893246,0.0726687658065805,-0.15632965041895047,0.0008595364029402152,0.26865975132201675,0.21101129447943678,250
Affirm,AFRM,pre_genai,2022-11-03,US,Finance,0,,1%,-0.01783551483735085,-0.05017339555585226,-0.2576164097303483,-0.3006831052322964,-0.2135382150403614,-0.0018829345029463336,2.247006409709534,0.6787113431847731,250
Affirm,AFRM,post_genai,2024-02-21,US,Finance,0,60.0,,-0.0018029031689218815,-0.027111952951152683,-0.06315739160663503,-0.1178186632958276,-0.6269992115479512,0.004763291745136188,2.9414837442783246,0.4477998994104294,250
Akamai,AKAM,post_genai,2023-05-09,US,Security,0,290.0,3%,0.09074291443800944,0.08045856366669693,0.10467112821630595,0.15252570402331056,0.14566642928086648,-0.0010804616822518366,0.7260235278324052,0.492796105581931,250
