company_fyi,ticker,confidence,status,period,announcement_date,edgar_8k_date,layoff_count,layoff_pct,industry,country,source_url,match_src,ticker_edgar,ticker_yfinance,yf_name,cik,ai_mentioned,ai_evidence,listing_region,benchmark_index,event_study_usable,exclusion_reason
Laybuy,,NONE,DELISTED,post_genai,2023-03-21,,,10%,Finance,New Zealand,https://www.nbr.co.nz/investment/laybuy-begins-further-restructure-affecting-10-of-staff/,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Lucid Motors,,NONE,DELISTED,post_genai,2023-03-28,,1300.0,18%,Transportation,United States,https://techcrunch.com/2023/03/28/lucid-to-lay-off-1300-employees-in-restructuring/,yfinance_only,,,,,0,"[FALSE_POSITIVE_TC_BOILERPLATE] [WEAK] ...Google is now letting users in the US change their Gmail address Ivan Mehta Why OpenAI really shut down Sora Connie Loizos The Pixel 10a doesn’t have a camera bump, a...",UNKNOWN,^GSPC,False,
Absolute Software,,NONE,DELISTED,post_genai,2023-04-06,,40.0,5%,Security,Canada,https://www.absolute.com/company/press-releases/2023/absolute-software-announces-workforce-restructuring/,yfinance_only,,,,,0,"[FALSE_POSITIVE_IRRELEVANT] [WEAK] ...ndpoint Security , Security Services Edge (SSE), Firmware-Embedded Persistence, Automated Security Control Assessment (ASCA), and Zero Trust Platforms. To learn more, vi...",UNKNOWN,^GSPC,False,
Pear Therapeutics,,NONE,DELISTED,post_genai,2023-04-07,2022-11-14,170.0,92%,Healthcare,United States,https://www.statnews.com/2023/04/07/pear-therapeutics-bankruptcy-stock-sale/,EDGAR_exact,,,,1835567.0,0,,UNKNOWN,^GSPC,False,
Acxiom,,NONE,DELISTED,post_genai,2023-04-11,,,,Marketing,United States,https://www.thecabin.net/news/acxiom-reduces-workforce-following-assessment/article_82704fbb-6267-5072-a057-b8f026aabe7a.html,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Science 37,,NONE,DELISTED,post_genai,2023-04-12,2024-02-09,140.0,,Healthcare,United States,https://www.bizjournals.com/triangle/news/2023/04/12/science-37-cutting-140-jobs-us-europe-asia-growth.html,EDGAR_exact,,,,1819113.0,0,,UNKNOWN,^GSPC,False,
WalkMe,,NONE,DELISTED,post_genai,2023-04-19,,112.0,10%,Other,United States,https://www.calcalistech.com/ctechnews/article/byc3z4pgn,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Alteryx,,NONE,DELISTED,post_genai,2023-04-27,2023-08-07,320.0,11%,Data,United States,https://siliconangle.com/2023/04/27/alteryx-delivers-mixed-earnings-results-plans-cut-11-staff/,EDGAR_exact,,,,1689923.0,0,[FALSE_POSITIVE_IRRELEVANT] [WEAK] ...Saronic raises $1.75B at $9.25B valuation to gear up autonomous ship production OpenAI closes record-breaking $122B funding round that brings its valuation to $852B D...,UNKNOWN,^GSPC,False,
Brightcove,,NONE,DELISTED,post_genai,2023-05-03,,70.0,10%,Marketing,United States,https://www.bizjournals.com/boston/news/2023/05/03/brightcove-cuts-across-organization.html,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Redbubble,,NONE,DELISTED,post_genai,2023-05-10,,70.0,23%,Retail,Australia,https://www.afr.com/technology/redbubble-axes-75-roles-in-a-new-cost-cutting-round-20230510-p5d762,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Telenav,,NONE,DELISTED,post_genai,2023-05-12,,172.0,,Transportation,Romania,https://www.romania-insider.com/telenav-closes-cluj-office-may-2023,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Nubank,,NONE,DELISTED,post_genai,2023-06-07,,296.0,,Finance,Brazil,https://brazilian.report/liveblog/politics-insider/2023/06/07/nubank-layoffs-restructuring/,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
HashiCorp,,NONE,DELISTED,post_genai,2023-06-07,,,8%,Infrastructure,United States,https://ir.hashicorp.com/news-releases/news-release-details/hashicorp-announces-first-quarter-financial-results-fiscal-0,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
New Relic,,NONE,DELISTED,post_genai,2023-06-27,2023-06-27,255.0,10%,Infrastructure,United States,https://www.oregonlive.com/silicon-forest/2023/06/new-relic-will-lay-off-another-255-in-latest-restructuring.html,EDGAR_exact,,,,1448056.0,0,,UNKNOWN,^GSPC,False,
Lordstown Motors,,NONE,DELISTED,post_genai,2023-06-27,,,100%,Transportation,United States,https://www.cnn.com/2023/06/27/business/lordstown-motors-bankruptcy-foxconn-lawsuit-intl-hnk/index.html,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Matterport,,NONE,DELISTED,post_genai,2023-07-11,,170.0,30%,Data,United States,https://investors.matterport.com/static-files/9d9ec717-3e67-410b-92cb-8cb27218fbe4,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Butterfly Network copy,,NONE,DELISTED,post_genai,2023-07-11,,,25%,Healthcare,United States,https://www.marketscreener.com/quote/stock/BUTTERFLY-NETWORK-INC-119073390/news/Butterfly-Network-Costs-Associated-with-Exit-Disposal-Form-8-K-44342052/,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
DeepVerge,,NONE,DELISTED,post_genai,2023-07-12,,50.0,100%,Healthcare,Ireland,https://www.standard.co.uk/business/life-science-ai-firm-deepverge-lays-off-staff-tech-collapse-jobs-redundancy-skin-water-technology-b1093932.html,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Sarcos,,NONE,DELISTED,post_genai,2023-07-17,,75.0,25%,Aerospace,United States,https://www.therobotreport.com/sarcos-plans-to-layoff-around-75-workers-as-part-of-optimization-plan/,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Inspirato,,NONE,DELISTED,post_genai,2023-07-19,2023-01-19,50.0,6%,Travel,United States,https://skift.com/2023/07/20/inspirato-lays-off-6-of-workforce-second-round-of-cuts-this-year/,EDGAR_exact,,,,1820566.0,0,,UNKNOWN,^GSPC,False,
Blue Apron,,NONE,DELISTED,post_genai,2023-07-19,2023-03-16,,20%,Food,United States,https://seekingalpha.com/news/3999870-blue-apron-discloses-that-it-cut-20-of-its-corporate-workforce-in-july,EDGAR_exact,,,,1701114.0,0,,UNKNOWN,^GSPC,False,
AppHarvest,,NONE,DELISTED,post_genai,2023-07-24,,,100%,Food,United States,https://marketrealist.com/why-did-this-farming-startup-app-harvest-declare-bankruptcy/,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Kleos Space,,NONE,DELISTED,post_genai,2023-07-26,,,100%,Aerospace,Luxembourg,https://spacenews.com/geospatial-intelligence-startup-kleos-space-files-for-bankruptcy/,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
